Comment,Designator,Footprint,LCSC
1N4001,D1,D_SOD-123F,C2892326
vik-module-connector,J2,vik-module-connector-horizontal-mini,C2919479
R2.2,R1,R_1206_3216Metric,C325909
TIP120,Q1,TO-252-2,C59488
